Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2020-06-16T19:21:02Z,Buy,BTC,0.00094589,USD,9525.42,9.01,10.00,0.990000,Bought 0.00094589 BTC for $10.00 USD
2020-07-23T18:50:22Z,Send,BTC,0.00188372,USD,9586.08,"","","",Sent 0.00188372 BTC to xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx7Qih
2020-10-03T00:27:45Z,Receive,BTC,0.00321806,USD,10545.34,"","","",Received 0.00321806 BTC from an external account
2021-12-23T21:14:49Z,Receive,BTC,4.92e-06,USD,50781.68,"","","",Received 0.00000492 BTC from Coinbase Card
2022-02-08T03:38:51Z,Advanced Trade Buy,BTC,0.00045096,USD,44110.19,19.89,19.99,0.099460,Bought 0.00045096 BTC for $19.99 USD on BTC-USD
2022-09-16T23:38:22Z,CardSpend,BTC,0.0005142,USD,19622.71,"","","",xxxxxxxxxxxxxxxxxxxx68dd
2022-05-15T00:23:51Z,Convert,USDC,9.4,USD,1.00,8.35,9.40,1.05,Converted 9.4000 USDC to 0.00027696 BTC
2020-10-01T16:38:37Z,Learning Reward,MKR,0.0035332,USD,568.91,2.01,2.01,0.00,Received 0.0035332 MKR from Coinbase as a learning reward
2022-06-05T04:33:00Z,Rewards Income,USDC,0.004247,USD,1.00,0.00,0.00,0.00,Received 0.004247 USDC from Coinbase Rewards
2022-01-18T20:18:43Z,Sell,USDC,2.3,USD,1.00,2.30,2.30,0.00,Sold 2.3000 USDC for $2.30 USD
2022-03-20T21:03:19Z,Advanced Trade Sell,DAI,1.15839,USD,1.00,1.16,1.16,0.000116,Sold 1.15839 DAI for $1.16 USD on DAI-USD
2022-02-03T05:17:36Z,Convert,LTC,0.30241992,USD,108.00,32.02,32.66,0.640000,Converted 0.30241992 LTC to 0.00086634 BTC
2022-04-20T23:06:08Z,Convert,LINK,0.00749,USD,14.69,0.100000,0.110000,0.010000,Converted 0.00749 LINK to 0.00000248 BTC
2022-04-20T23:07:01Z,Convert,EOS,0.0875,USD,2.74,0.240000,0.240000,0.00,Converted 0.0875 EOS to 0.00000571 BTC