"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"T67GEA-JUY4E-IWYJ4Q","OLHCBM-KNQS6-3KM5TE","USDCUSD","2020-12-04 02:56:07.3871","sell","market",0.99980000,150.21995000,0.30043990,150.25000000,0.00000000,"","L6FPTW-QRLTQ-DEMCAY,LORZAV-VUXRN-BGETTA"
"TTMJGV-MHS3P-7PIRH3","OJXW24-WHWVE-SUDC2H","XXBTZUSD","2020-12-07 11:41:07.0742","buy","market",19192.50000,19.19250,0.04990,0.00100000,0.00000,"","L3XBKO-7RBWG-XK6YNX,LRW5F5-WFSM4-RCSJBS"
"TFL2I2-DNDXG-FHGQOT","OUUZCG-7676N-WPJNRB","XLTCZUSD","2020-12-07 12:13:26.1378","sell","market",82.74000,13.13730,0.03416,0.15877807,0.00000,"","LEQFJC-2KQSN-Z3NMDN,LOL4IW-V3SMR-MCQJHN"
"TEXWPK-H2ABI-LQTH2Y","OGHG47-3EWAV-HO3TS3","XETHZUSD","2020-12-07 12:27:06.7898","buy","market",594.83000,11.89660,0.03093,0.02000000,0.00000,"","LSJYTA-QBKUA-D2E6XE,LR3JOY-GVS6U-XJWRFE"
"TKWDS2-VI7EI-IYD2IT","O7X4LZ-S2NO6-KXAOXH","XZECZUSD","2020-12-07 12:38:23.356","buy","market",74.47000,6.58237,0.01711,0.08838961,0.00000,"","LARDGX-ARSIK-RSTKIY,LVRSPT-WO7RA-FCCBT4"
"T4XRNR-OIVLO-W3YE4N","OZBPKV-VXLL3-42URQK","XXRPZUSD","2020-12-07 12:50:11.6723","buy","market",0.61413000,18.42390000,0.04790214,30.00000000,0.00000000,"","L52FKQ-OVVM6-5RLJWN,LGONPR-47U6M-2744TM"
"TGF6SJ-CTTIO-O5JWED","OTDRQG-WUHKP-UKJDEQ","LINKUSD","2020-12-07 12:55:46.3283","buy","market",13.205580,26.411160,0.068669,2.00000000,0.000000,"","L726XM-V75LQ-NXHBAH,LRYAHP-SKBKW-5M6JEQ"
"TVVIFG-KGMIS-D4ZD2Y","ONNJBW-IK6WW-NX7Z3G","DOTUSD","2021-03-08 11:35:26.2512","buy","market",34.17500,17.08750,0.04443,0.50000000,0.00000,"","LLYZRP-MGMYS-ZEXAUY,LWG3ZB-GLHTN-NIKIVX"
"TRRKR2-E4P3F-OYWD4P","O7R5VL-UZCKE-DMYXA2","DOTUSD","2021-03-15 12:34:39.8667","buy","market",34.96260,17.48130,0.04545,0.50000000,0.00000,"","LU5NNK-CI7QH-DWIYOS,LVTP4T-QUSP7-QPWMJO"
"TTSYYK-K5WA6-5CBG53","ODLHSF-ZFUDG-HCQYJC","DOTUSD","2021-05-31 02:54:54.4845","sell","market",19.96960,11.28401,0.02934,0.56505928,0.00000,"","LJB5I4-A2OSL-4YHXDT,L7S44Z-27FGX-GCY3AN"